0/casedecisions,0/caseid,0/caseno,0/caseproceedings/0/arb_history,0/caseproceedings/0/arbitrators,0/caseproceedings/0/claimant,0/caseproceedings/0/claimanthdr,0/caseproceedings/0/clmnt_nationality,0/caseproceedings/0/compoftribunalhdr,0/caseproceedings/0/dateconstituted,0/caseproceedings/0/datecreated,0/caseproceedings/0/dateofconsthdr,0/caseproceedings/0/datepublished,0/caseproceedings/0/daterange,0/caseproceedings/0/dateregistered,0/caseproceedings/0/development,0/caseproceedings/0/isapproved,0/caseproceedings/0/language,0/caseproceedings/0/lastproc,0/caseproceedings/0/president,0/caseproceedings/0/proceedingid,0/caseproceedings/0/prsdnt_history,0/caseproceedings/0/prtyisapproved,0/caseproceedings/0/reconstituted,0/caseproceedings/0/remarks,0/caseproceedings/0/resp_nationality,0/caseproceedings/0/respondent,0/caseproceedings/0/sequenceno,0/caseproceedings/0/status,0/caseproceedings/0/title,0/caseproceedings/0/trbisapproved,0/caseproceedings/0/trbnlid,0/casetitle,0/casetype,0/claimant,0/econsector,0/instrumentinvk1,0/instrumentinvk2,0/isapproved,0/partiessub,0/respondent,0/rulesapplied,0/seatarbitration,0/status,0/subject,0/caseproceedings/1/arb_history,0/caseproceedings/1/arbitrators,0/caseproceedings/1/claimant,0/caseproceedings/1/claimanthdr,0/caseproceedings/1/clmnt_nationality,0/caseproceedings/1/compoftribunalhdr,0/caseproceedings/1/dateconstituted,0/caseproceedings/1/datecreated,0/caseproceedings/1/dateofconsthdr,0/caseproceedings/1/datepublished,0/caseproceedings/1/daterange,0/caseproceedings/1/dateregistered,0/caseproceedings/1/development,0/caseproceedings/1/isapproved,0/caseproceedings/1/language,0/caseproceedings/1/lastproc,0/caseproceedings/1/president,0/caseproceedings/1/proceedingid,0/caseproceedings/1/prsdnt_history,0/caseproceedings/1/prtyisapproved,0/caseproceedings/1/reconstituted,0/caseproceedings/1/remarks,0/caseproceedings/1/resp_nationality,0/caseproceedings/1/respondent,0/caseproceedings/1/sequenceno,0/caseproceedings/1/status,0/caseproceedings/1/title,0/caseproceedings/1/trbisapproved,0/caseproceedings/1/trbnlid,0/caseproceedings/2/arb_history,0/caseproceedings/2/arbitrators,0/caseproceedings/2/claimant,0/caseproceedings/2/claimanthdr,0/caseproceedings/2/clmnt_nationality,0/caseproceedings/2/compoftribunalhdr,0/caseproceedings/2/dateconstituted,0/caseproceedings/2/datecreated,0/caseproceedings/2/dateofconsthdr,0/caseproceedings/2/datepublished,0/caseproceedings/2/daterange,0/caseproceedings/2/dateregistered,0/caseproceedings/2/development,0/caseproceedings/2/isapproved,0/caseproceedings/2/language,0/caseproceedings/2/lastproc,0/caseproceedings/2/president,0/caseproceedings/2/proceedingid,0/caseproceedings/2/prsdnt_history,0/caseproceedings/2/prtyisapproved,0/caseproceedings/2/reconstituted,0/caseproceedings/2/remarks,0/caseproceedings/2/resp_nationality,0/caseproceedings/2/respondent,0/caseproceedings/2/sequenceno,0/caseproceedings/2/status,0/caseproceedings/2/title,0/caseproceedings/2/trbisapproved,0/caseproceedings/2/trbnlid,0/caseproceedings/3/arb_history,0/caseproceedings/3/arbitrators,0/caseproceedings/3/claimant,0/caseproceedings/3/claimanthdr,0/caseproceedings/3/clmnt_nationality,0/caseproceedings/3/compoftribunalhdr,0/caseproceedings/3/dateconstituted,0/caseproceedings/3/datecreated,0/caseproceedings/3/dateofconsthdr,0/caseproceedings/3/datepublished,0/caseproceedings/3/daterange,0/caseproceedings/3/dateregistered,0/caseproceedings/3/development,0/caseproceedings/3/isapproved,0/caseproceedings/3/language,0/caseproceedings/3/lastproc,0/caseproceedings/3/president,0/caseproceedings/3/proceedingid,0/caseproceedings/3/prsdnt_history,0/caseproceedings/3/prtyisapproved,0/caseproceedings/3/reconstituted,0/caseproceedings/3/remarks,0/caseproceedings/3/resp_nationality,0/caseproceedings/3/respondent,0/caseproceedings/3/sequenceno,0/caseproceedings/3/status,0/caseproceedings/3/title,0/caseproceedings/3/trbisapproved,0/caseproceedings/3/trbnlid,0/caseproceedings/4/arb_history,0/caseproceedings/4/arbitrators,0/caseproceedings/4/claimant,0/caseproceedings/4/claimanthdr,0/caseproceedings/4/clmnt_nationality,0/caseproceedings/4/compoftribunalhdr,0/caseproceedings/4/dateconstituted,0/caseproceedings/4/datecreated,0/caseproceedings/4/dateofconsthdr,0/caseproceedings/4/datepublished,0/caseproceedings/4/daterange,0/caseproceedings/4/dateregistered,0/caseproceedings/4/development,0/caseproceedings/4/isapproved,0/caseproceedings/4/language,0/caseproceedings/4/lastproc,0/caseproceedings/4/president,0/caseproceedings/4/proceedingid,0/caseproceedings/4/prsdnt_history,0/caseproceedings/4/prtyisapproved,0/caseproceedings/4/reconstituted,0/caseproceedings/4/remarks,0/caseproceedings/4/resp_nationality,0/caseproceedings/4/respondent,0/caseproceedings/4/sequenceno,0/caseproceedings/4/status,0/caseproceedings/4/title,0/caseproceedings/4/trbisapproved,0/caseproceedings/4/trbnlid,0/caseproceedings/5/arb_history,0/caseproceedings/5/arbitrators,0/caseproceedings/5/claimant,0/caseproceedings/5/claimanthdr,0/caseproceedings/5/clmnt_nationality,0/caseproceedings/5/compoftribunalhdr,0/caseproceedings/5/dateconstituted,0/caseproceedings/5/datecreated,0/caseproceedings/5/dateofconsthdr,0/caseproceedings/5/datepublished,0/caseproceedings/5/daterange,0/caseproceedings/5/dateregistered,0/caseproceedings/5/development,0/caseproceedings/5/isapproved,0/caseproceedings/5/language,0/caseproceedings/5/lastproc,0/caseproceedings/5/president,0/caseproceedings/5/proceedingid,0/caseproceedings/5/prsdnt_history,0/caseproceedings/5/prtyisapproved,0/caseproceedings/5/reconstituted,0/caseproceedings/5/remarks,0/caseproceedings/5/resp_nationality,0/caseproceedings/5/respondent,0/caseproceedings/5/sequenceno,0/caseproceedings/5/status,0/caseproceedings/5/title,0/caseproceedings/5/trbisapproved,0/caseproceedings/5/trbnlid,0/caseproceedings/6/arb_history,0/caseproceedings/6/arbitrators,0/caseproceedings/6/claimant,0/caseproceedings/6/claimanthdr,0/caseproceedings/6/clmnt_nationality,0/caseproceedings/6/compoftribunalhdr,0/caseproceedings/6/dateconstituted,0/caseproceedings/6/datecreated,0/caseproceedings/6/dateofconsthdr,0/caseproceedings/6/datepublished,0/caseproceedings/6/daterange,0/caseproceedings/6/dateregistered,0/caseproceedings/6/development,0/caseproceedings/6/isapproved,0/caseproceedings/6/language,0/caseproceedings/6/lastproc,0/caseproceedings/6/president,0/caseproceedings/6/proceedingid,0/caseproceedings/6/prsdnt_history,0/caseproceedings/6/prtyisapproved,0/caseproceedings/6/reconstituted,0/caseproceedings/6/remarks,0/caseproceedings/6/resp_nationality,0/caseproceedings/6/respondent,0/caseproceedings/6/sequenceno,0/caseproceedings/6/status,0/caseproceedings/6/title,0/caseproceedings/6/trbisapproved,0/caseproceedings/6/trbnlid,0/caseproceedings/7/arb_history,0/caseproceedings/7/arbitrators,0/caseproceedings/7/claimant,0/caseproceedings/7/claimanthdr,0/caseproceedings/7/clmnt_nationality,0/caseproceedings/7/compoftribunalhdr,0/caseproceedings/7/dateconstituted,0/caseproceedings/7/datecreated,0/caseproceedings/7/dateofconsthdr,0/caseproceedings/7/datepublished,0/caseproceedings/7/daterange,0/caseproceedings/7/dateregistered,0/caseproceedings/7/development,0/caseproceedings/7/isapproved,0/caseproceedings/7/language,0/caseproceedings/7/lastproc,0/caseproceedings/7/president,0/caseproceedings/7/proceedingid,0/caseproceedings/7/prsdnt_history,0/caseproceedings/7/prtyisapproved,0/caseproceedings/7/reconstituted,0/caseproceedings/7/remarks,0/caseproceedings/7/resp_nationality,0/caseproceedings/7/respondent,0/caseproceedings/7/sequenceno,0/caseproceedings/7/status,0/caseproceedings/7/title,0/caseproceedings/7/trbisapproved,0/caseproceedings/7/trbnlid
,C7573,,,,"White & Case, London, U.K. and Mexico City, Mexico",Claimant(s)/Nationality(ies):,"Daniel W. Kappes (U.S.), Kappes, Cassidy & Associates (U.S.)",Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"December 11, 2018",,Y,,"December 11, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Acting Secretary-General registers a request for the institution of arbitration proceedings.</span>",,PR9378,,Y,,,Republic of Guatemala (Guatemalan),"Ministry of Economy, Dirección de Administración del Comercio Exterior",,Pending,Original Proceeding,,,"Daniel W. Kappes and Kappes, Cassidy & Associates v. Republic of Guatemala (ICSID Case No. ARB/18/43)",,,"Oil, Gas & Mining",,CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),Y,,,ICSID Convention - Arbitration Rules,,CD27,Gold and silver mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7553,,,"<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=639' target=_blank>W. Michael REISMAN</a>  (U.S.)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=515' target=_blank>Philippe SANDS</a>  (British, French)  - Appointed by the Respondent(s)","Quinn Emanuel Urquhart & Sullivan, New York, NY, U.S.A.",Claimant(s)/Nationality(ies):,PACC Offshore Services Holdings Ltd (Singaporean),Composition of Tribunal,"September 24, 2018",,Date of Constitution of Tribunal:,,,"May 4, 2018",,Y,"English,Spanish","December 19, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Tribunal issues Procedural Order No. 2 concerning the procedural calendar.</span>",<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=49' target=_blank>Andrés RIGO SUREDA</a>  (Spanish)  - Appointed by Co-Arbitrators,PR9358,,Y,,,United Mexican States (Mexican),"Subsecretaría de Comercio Exterior, Dirección General de Consultoría Jurídica de Comercio Internacional, Secretaría de Economía, Ciudad de México, México<br>Tereposky & DeRose, Ontario, Canada",,Pending,Original Proceeding,Y,TR9545,PACC Offshore Services Holdings Ltd v. United Mexican States (ICSID Case No. UNCT/18/5),,,Transportation,BIT Singapore - Mexico 2009,,Y,,,UNCITRAL,,CD27,Marine services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7536,,,,"Allen & Overy, Madrid, Spain",Claimant(s)/Nationality(ies):,"EBL (Genossenschaft Elektra Baselland) (Swiss), Tubo Sol PE2 S.L. (Spanish)",Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"November 8, 2018",,Y,,"December 14, 2018 - Following appointment by the Claimants, Bo G.H. Nilsson (Sweden) accepts his appointment as arbitrator.",,PR9341,,Y,,,Kingdom of Spain (Spanish),"Abogacía General del Estado, The Ministry of Justice of the Government of Spain, Madrid, Spain",,Pending,Original Proceeding,,,EBL (Genossenschaft Elektra Baselland) and Tubo Sol PE2 S.L. v. Kingdom of Spain (ICSID Case No. ARB/18/42),,,Electric Power & Other Energy,,ECT (Energy Charter Treaty),Y,,,ICSID Convention - Arbitration Rules,,CD27,Renewable energy generation enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7574,,,,"Teynier Pic, Paris France",Claimant(s)/Nationality(ies):,"SAUR (French), STEREAU (French)",Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"December 12, 2018",,Y,,"December 12, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Secretary-General registers a request for the institution of arbitration proceedings.</span>",,PR9379,,Y,,,People’s Democratic Republic of Algeria (Algerian),Prime Minister <br>Minister of Finance<br>Minister of Foreign Affairs <br>Minister of Justice<br>Minister of Water Resources ,,Pending,Original Proceeding,,,SAUR and STEREAU v. People’s Democratic Republic of Algeria  (ICSID Case No. ARB/18/44),,,"Water, Sanitation & Flood Protection",BIT Algeria - France 1993,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Water and sanitation management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7494,,,Christian LEATHLEY  (British)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=414' target=_blank>Marcelo G.  KOHEN</a>  (Argentine)  - Appointed by the Respondent(s),"Hogan Lovells US, Miami, FL, U.S.A.",Claimant(s)/Nationality(ies):,Michael Anthony Lee-Chin (Jamaican),Composition of Tribunal,"August 7, 2018",,Date of Constitution of Tribunal:,,,"April 6, 2018",,Y,"English,Spanish","October 23, 2018 - <span style=""font-family: Times New Roman; font-size: medium;""> <span style=""font-size: 12pt;""><span style=""font-family: Calibri;"">The Tribunal issues Procedural Order No. 1.</span></span></span>","<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=784' target=_blank>Diego P. FERNÁNDEZ ARROYO</a>  (Argentine, Spanish)  - Appointed by Co-Arbitrators",PR9300,,Y,,,Dominican Republic (Dominican),"Ministerio de Industria, Comercio y Pymes, Santo Domingo, República Dominicana<br>Ministerio de Medio Ambiente y Recursos Naturales, Santo Domingo, República Dominicana<br>Curtis Mallet-Prevost, Colt & Mosle, Washington, D.C., U.S.A.",,Pending,Original Proceeding,Y,TR9425,Michael Anthony Lee-Chin v. Dominican Republic (ICSID Case No. UNCT/18/3),,,Other Industry,,CARICOM - Dominican Republic Free Trade Agreement - 2002,Y,,,UNCITRAL,"Washington D.C., U.S.A.",CD27,Waste management services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7534,,,,"Freshfields Bruckhaus Deringer US, Washington, D.C., U.S.A.<br>Dechamps International Law, London, U.K.<br>D’Empaire Reyna Abogados, Caracas, Venezuela",Claimant(s)/Nationality(ies):,Dick Fernando Abanto Ishivata (Peruvian),Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"November 6, 2018",,Y,,"November 6, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Secretary-General registers a request for the institution of arbitration proceedings.</span>",,PR9339,,Y,,,Bolivarian Republic of Venezuela (Venezuelan),"Procuraduría General de la República, Caracas, Venezuela",,Pending,Original Proceeding,,,Dick Fernando Abanto Ishivata v. Bolivarian Republic of Venezuela (ICSID Case No. ARB(AF)/18/6),,,Information & Communication,"BIT Venezuela,  Republica Bolivariana de - Peru 1996",,Y,,,ICSID Additional Facility - Arbitration Rules,,CD27,Telecommunication concession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7513,,,,"B. Cremades & Asociados, Madrid, Spain",Claimant(s)/Nationality(ies):," Inversiones Continental (Panamá), S.A. (Panamanian)",Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"October 30, 2018",,Y,,"October 30, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: 'Times New Roman'; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Secretary-General registers a request for the institution of arbitration proceedings.&nbsp;</span>",,PR9318,,Y,,,Republic of Honduras (Honduran),"Procuraduría General de la República, Tegucigalpa, Honduras",,Pending,Original Proceeding,,," Inversiones Continental (Panamá), S.A. v. Republic of Honduras (ICSID Case No. ARB/18/40)",,,Finance,,FTA Central America - Panama 2002,Y,,,ICSID Convention - Arbitration Rules,,CD27,Banking and financial services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7493,,,,KLS Energy Lanka Sdn. Bhd. ,Claimant(s)/Nationality(ies):,KLS Energy Lanka Sdn. Bhd. (Malaysian),Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"October 24, 2018",,Y,,"October 24, 2018 - <span lang=""EN-GB"" style=""color: black; font-family: 'Calibri',sans-serif; font-size: 12pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-GB; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Acting Secretary-General registers a request for the institution of arbitration proceedings.&nbsp;</span>",,PR9298,,Y,,,Democratic Socialist Republic of Sri Lanka (Sri Lanka),"Ministry of Power & Renewable Energy, Democratic Socialist Republic of Sri Lanka<br>Attorney General's Department, Democratic Socialist Republic of Sri Lanka",,Pending,Original Proceeding,,,KLS Energy Lanka Sdn. Bhd. v. Democratic Socialist Republic of Sri Lanka (ICSID Case No. ARB/18/39),,,Electric Power & Other Energy,BIT Malaysia - Sri Lanka 1982,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Renewable energy generation enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7533,,,,"British Arbitration Consultants, London, U.K. ",Claimant(s)/Nationality(ies):,Alexander Nelin (Belarussian),Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"November 2, 2018",,Y,,"November 2, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Secretary-General registers a request for the institution of arbitration proceedings.&nbsp;</span>",,PR9338,,Y,,,Republic of Cyprus  (Cypriot),"President of the Republic of Cyprus, Nicosia, Cyprus<br>Attorney General, Nicosia, Republic of Cyprus",,Pending,Original Proceeding,,,Alexander Nelin v. Republic of Cyprus (ICSID Case No. ARB/18/41),,,Finance,BIT Belarus - Cyprus 1998,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Banking enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7476,,,,"IB Law - International Business Legal Associates, Amman, Jordan<br>Three Stone, London, U.K.<br>Fietta, London, U.K.",Claimant(s)/Nationality(ies):,"Mr. Talal Al Awamleh (Jordanian), Arab Telemedia Services LLC (Jordanian), Ain Telemedia Studios LLC (Jordanian)",Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"October 17, 2018",,Y,,"October 17, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Acting Secretary-General registers a request for the institution of arbitration proceedings.&nbsp;</span>",,PR9281,,Y,,,State of Qatar (Qatari),"Ministry of Justice, State of Qatar, Department of the State Cases, Doha, Qatar",,Pending,Original Proceeding,,,"Talal Al Awamleh, Arab Telemedia Services LLC and Ain Telemedia Studios LLC v. State of Qatar (ICSID Case No. ARB/18/38)",,,Other Industry,BIT Qatar - Jordan 2009,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Cable television franchise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7475,,,,Professor Stanislovas Tomas ,Claimant(s)/Nationality(ies):,Oļegs Roščins (Latvian),Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"October 16, 2018",,Y,,"October 16, 2018 - <span style=""color: black; font-family: 'Arial',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Acting Secretary-General registers a request for the institution of arbitration proceedings.</span>",,PR9280,,Y,,,Republic of Lithuania (Lithuanian),Ministry of Justice of Republic of Lithuania,,Pending,Original Proceeding,,,Oļegs Roščins v. Republic of Lithuania (ICSID Case No. ARB/18/37),,,Finance,BIT Latvia - Lithuania 1996,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Bank deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7453,,,,"Quinn Emanuel Urquhart & Sullivan, London, U.K.<br>Can Yeginsu, London, U.K.<br>Moroğlu Arseven Attorney Partnership, Istanbul, Turkey",Claimant(s)/Nationality(ies):,SECE İnşaat ve Ticaret A.Ş. (Turkish),Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"October 12, 2018",,Y,,"October 12, 2018 - <span style=""font-family: Times New Roman; font-size: medium;""><span style=""color: black; font-family: 'Arial',sans-serif; font-size: 10pt;"">The Acting Secretary-General registers a request for the institution of arbitration proceedings.</span></span>",,PR9258,,Y,,,Turkmenistan (Turkmen),"Curtis, Mallet-Prevost,  Colt & Mosle, New York, NY, U.S.A.",,Pending,Original Proceeding,,,SECE İnşaat ve Ticaret A.Ş. v. Turkmenistan (ICSID Case No. ARB/18/34),,,Construction,,"Agreement between the Government of the Republic of Turkey and Turkmenistan Concerning the Reciprocal Promotion and Protection of Investments – March 13,  1997",Y,,,ICSID Convention - Arbitration Rules,,CD27,Construction activities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C7356,,,,"Weil, Gotshal & Manges, New York, NY, U.S.A.",Claimant(s)/Nationality(ies):,"The Carlyle Group L.P. (U.S.), Carlyle Investment Management L.L.C. (U.S.), Carlyle Commodity Management L.L.C. (U.S.), TC Group LLC (U.S.), TC Group Investment Holdings LP (U.S.), Celadon Commodities Fund LP (U.S.), Celadon Partners LLC (U.S.)",Composition of Tribunal,,,Date of Constitution of Tribunal:,,,"August 22, 2018",,Y,,"December 11, 2018 - <span style=""font-family: Times New Roman; font-size: medium;""> <span style=""font-family: Calibri; font-size: medium;"">Following appointment by the Respondent, Samuel Wordsworth (British) accepts his appointment as arbitrator.</span></span>
&nbsp;",,PR9142,,Y,,,Kingdom of Morocco (Moroccan),"Christopher Harris, 3 Verulam Buildings, London, U.K.",,Pending,Original Proceeding,,,The Carlyle Group L.P. and others v. Kingdom of Morocco (ICSID Case No. ARB/18/29),,,"Oil, Gas & Mining",,FTA  United States – Morocco,Y,,,ICSID Convention - Arbitration Rules,,CD27,Oil storage and trade enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
